"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","718842879.311973","704466045.165839","643177490.16443","605873210.279876","624655253.729882","649641481.089983","662599803.235749","632785861.39631","714157289.261322","724155526.816388","716189816.080482","803114714.276773","834187361.138464","869334201.895627","995717531.695708","1108016049.86084","1113374390.62711","1228052042.12764","1264893603.53317","1339807607.92757","1126700802.55571","1284438914.95399","1406460611.98412","1513351618.49492","1605666067.31512","1817613988.15802","1726733288.76852","1638669890.99201","1525601668.43369","1437116771.6719","1383943451.19954","1372871903.49866","1334431490.16536","1329093764.20691","1349030170.82644","1420528769.88025",
"American Samoa","ASM","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","14609499.6540001","15902644.6430183","11580906.8207119","12293318.2898577","13218440.2924452","14639886.8730632","13762033.8779071","11094711.3157024","11989446.0992268","12529663.3270151","14285369.3173271","14636510.5153895","15136211.4510937","16074838.8843758","16557658.0317116","17162026.0552998","17550307.1877727","16412474.6517435","15608901.5254084","15730450.4016608","16331442.0675753","16743357.7037639","17185660.5590155","17641468.8449619","16706217.7693534","15588643.3793664","17378112.9464151","17847426.6630562","17276822.2162048","18711774.2275175","18228955.0801817","18772548.6656437","18546332.7015074","20562018.2326925","21791012.4259109","20511372.8675873","20774728.7661341","20693696.1819659","20781481.4814815","21335204.1399645","24390807.8346421","24640658.3024942","24806099.8285044","25204510.0339983","25359822.4869874","26224170.0514487","30674209.4653549","23104415.5609712","22432520.3839095",
"Australia","AUS","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","12622413730.142","13666266562.73","14031480537.0183","13572104580.409","16518702041.471","14487493565.6875","12701106243.9389","14778723125.2949","11547621960.5055","16547623221.7554","16579907329.9797","15421714947.4303","15587171002.0803","15250878208.0764","15923463796.0842","17228279836.8192","18183351371.7903","17218863638.5871","18124163840.0456","18874769356.2623","16109097418.3743","19502964295.4615","21085558184.0438","21240252869.2856","23358224885.9221","24947544630.3845","25947679399.7521","26770251573.8856","21000139814.3669","26347195239.0287","27483192297.1738","28290295002.7832","24000544122.4695","25973237652.0964","30552200335.2533","30328901920.0347","31353922356.1586","31641788987.8259","31378135437.3269","31717791159.2708","32246443431.4449","29934766765.4622","32765679505.3869","31845582420.9923","28497451363.8895","25723708398.9455","31218060067.381","36538212068.5225","38227074480.01","36693579339.3523","39957637197.954",
"Austria","AUT","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","3444244938.71044","3367913541.07057","3413404399.28624","3523034948.2073","3443632465.36663","3312742988.47822","3536616163.17265","3414436449.56486","3422980561.69199","3308341244.99844","3376411881.16845","3341264411.75363","3443225966.15446","3425956833.40363","3687114595.35487","3577045942.72525","3502824417.67188","3438710882.41177","3706985105.10156","3717073478.31085","3655817425.44836","3790846001.55346","3950826872.4625","4188943866.73621","3957380991.12737","3986587905.03134","3916367073.29669","3751125688.45428","4130215083.77459","4072483477.16454","4010294546.75348","4453861473.94748","4786641563.57669","4450204070.84817","4182944461.47347","4824981087.12676","4506961387.12127","4196085393.10982","4531376405.4866","4340597497.75195","4567172311.98249","4519756848.91778","4648491771.00066","4581193810.27684","4440599573.37669","4700974851.58976","4859556406.17593","4622938990.76534","4725313583.23967","4799439204.99365",
"Azerbaijan","AZE","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1886052156.45094","1578625697.33712","1376561566.72414","1280202174.34578","1318608305.74229","1227624291.29224","1303737054.00711","1396302232.24597","1669800766.4937","1867531015.45199","1987041110.38697","2098575498.40083","2203310489.26138","2368540761.19267","2389838191.74209","2485394285.92252","2637225709.32774","2729263832.97033","2669627677.77152","2823986854.19338","3010682039.69604","3157861363.70484","3076168314.82122","3278858128.92118","3364292252.26943","3505705818.17033","3666764729.00897","3935787744.72541","4051260671.75447","4184873870.98441","4327014230.49296","4457634032.55137","4521960240.39931","4556107489.01604",
"Burundi","BDI","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","568481135.344168","593821992.463581","569694041.624887","542094740.553907","540569825.914944","755372023.006344","900765810.758973","811103725.42308","908617674.560207","872251147.661447","912467154.112588","945709465.823475","984446015.761173","958094747.678267","972267361.71884","984693969.415778","1123607903.28848","1038359391.99186","1083962190.05649","1044775191.14697","1181938986.01131","1230734186.65336","1294706213.56722","1315249168.65856","1286670450.8362","1358289779.78519","1387217698.88898","1430776334.61371","1368108331.32792","1234991390.60171","1151382473.26618","1168768348.64745","1207688334.68834","1230996719.642","1218194353.68434","1155108330.66396","1115338664.84131","1162566435.75444","1121715872.40306","1119031176.52216","1045618177.16735","1078964741.53051","980647459.929429","983136800.026425","976312830.279682","986374001.446177","970834163.478976","1001608762.83979","1082998531.7813","1051651913.84501","990649310.65106","1017250442.99417","992824123.580164","1133867931.83999","1165816228.5742","1015682194.11347","1049952774.19086","1071732021.08055","1077002305.96324","1105121198.70899","1124221690.02476",
"Belgium","BEL","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2036307232.93951","2036307232.93951","2094564425.63221","2162020122.43427","2176607649.15318","2320903375.23253","2155794872.17844","2379532224.65691","2301205568.45286","2466592814.05572","2399508773.98535","2612282252.87892","2605220774.97678","2621109100.2566","2749609415.23905","2983474413.65613","2998898168.02134","3057619931.62865","2795230279.05422","3007260444.48441","3460681657.14844","3206003881.75661","3361635138.15256","3054832506.14096","3193274638.69617","3071464144.88417","3042567833.99513","2948631595.06002","3195783321.63509","3298174751.21618","3293064471.15542",
"Benin","BEN","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","510360611.50468","491730389.187935","508545398.809074","579140581.551889","495820459.323861","469007348.582605","521724818.882051","519451960.674838","573989808.774047","601253651.073731","619888871.78616","575352499.080625","586259060.303641","586259060.303641","698121159.165561","763204558.970008","802356315.943532","741340618.365098","846592700.877173","912970104.475165","936032676.335846","1011778571.91182","1018546721.82078","1121694245.29891","1158516522.79045","1225326497.17631","1293988547.22932","1372701957.93724","1444726895.94853","1531161690.5794","1601136412.22302","1741088628.62859","1793971498.1756","1825796347.31788","1955758412.61517","1983660167.69851","2123859428.60691","2251961698.32891","2299153111.31073","2478081310.56297","2457417139.26642","2480809167.95391","2615875355.70042","2775692887.25407","3004889696.04252","3005573140.73985","3275058674.49869","3522787800.45384","3780975346.16103","3976057778.54551","4045771178.90519","4256049229.59424","4461346094.67758","4687830111.23708","4964719084.43192","5248204679.4683",
"Burkina Faso","BFA","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","667454525.079441","675172735.181569","673185829.58756","635455460.405995","730774811.444952","724813994.631074","752620379.443168","708932791.126876","748642920.543159","700425555.212881","717741396.196122","775689062.279008","797323057.298504","799636317.006704","791139824.452526","848115574.76997","954577077.752612","857630255.02584","1011450589.42998","997632795.824686","932501448.169924","1124753380.3027","1153537777.08911","1266758117.15755","1273420512.39318","1354453800.91244","1524236140.19897","1464787576.31078","1707244728.9431","1731228511.65235","1641491127.76858","1774930537.65658","1759204948.10642","1922161940.71316","1822732872.58264","2045306189.79735","2078977826.48408","1972074162.84919","2290227507.47398","2053688420.42094","2352844607.44889","2299695645.73805","2495586064.50307","2650510788.10014","2767222742.77462","2679569780.7725","2791140644.8524","2785384046.47738","3023793047.13961","3007313757.3472","3038794267.2271","2807758164.9949","3073249406.00211","3122888520.38242","3453218992.46317","3855239496.29292",
